last_detected_date_time_UTC,zombie_ipv4,destination_tcp_port
2021-09-14 00:00:04,203.93.97.238,445
2021-09-14 00:00:09,64.225.74.200,3389
2021-09-14 00:00:15,218.75.147.238,222
2021-09-14 00:00:20,183.82.98.6,445
2021-09-14 00:00:35,211.70.159.20,6379
2021-09-14 00:00:49,188.254.0.2,222
2021-09-14 00:00:55,187.189.1.254,445
2021-09-14 00:00:56,189.112.71.14,445
2021-09-14 00:00:58,152.32.138.191,2222
2021-09-14 00:01:09,202.162.202.34,445
2021-09-14 00:01:22,13.77.165.31,8299
2021-09-14 00:01:27,14.165.161.29,445
2021-09-14 00:01:32,116.62.115.46,6379
2021-09-14 00:01:33,189.150.245.58,445
2021-09-14 00:01:33,61.54.66.109,5555
2021-09-14 00:01:36,150.195.120.216,23
2021-09-14 00:01:47,31.14.252.130,22
2021-09-14 00:01:58,187.9.15.2,445
2021-09-14 00:02:03,110.136.227.119,445
2021-09-14 00:02:09,114.67.67.188,22222
2021-09-14 00:02:10,220.135.193.181,23
2021-09-14 00:02:14,176.92.50.233,23
2021-09-14 00:02:21,101.78.9.237,22
2021-09-14 00:02:23,200.172.52.206,445
2021-09-14 00:02:29,183.82.63.252,445
2021-09-14 00:02:38,81.68.156.42,6379
2021-09-14 00:02:40,202.141.254.202,445
2021-09-14 00:02:46,134.122.53.27,3389
2021-09-14 00:02:46,217.133.83.22,23
2021-09-14 00:02:47,114.108.197.225,445
2021-09-14 00:02:48,110.42.248.143,6379
2021-09-14 00:02:55,189.79.65.11,445
2021-09-14 00:03:04,199.203.204.116,23
2021-09-14 00:03:05,217.138.131.2,2222
2021-09-14 00:03:13,179.66.202.115,1433
2021-09-14 00:03:17,36.155.117.16,23
2021-09-14 00:03:17,95.5.66.24,445
2021-09-14 00:03:20,201.145.204.248,23
2021-09-14 00:03:34,201.210.227.191,445
2021-09-14 00:03:38,79.191.103.159,8080
2021-09-14 00:03:43,94.45.132.24,8080
2021-09-14 00:03:49,47.96.228.248,6379
2021-09-14 00:03:52,107.180.102.192,222
2021-09-14 00:04:07,147.182.170.122,8443
2021-09-14 00:04:17,192.82.65.72,445
2021-09-14 00:04:18,122.170.115.54,445
2021-09-14 00:04:25,186.33.77.129,8080
2021-09-14 00:04:47,64.225.71.195,3389
2021-09-14 00:04:57,186.94.225.48,445
2021-09-14 00:05:02,123.252.233.234,445
2021-09-14 00:05:07,47.74.0.59,222
2021-09-14 00:05:12,122.177.97.246,445
2021-09-14 00:05:13,197.232.26.234,445
2021-09-14 00:05:18,125.25.115.78,445
2021-09-14 00:05:25,61.193.227.224,8081
2021-09-14 00:05:27,177.66.146.155,445
2021-09-14 00:05:44,186.74.169.162,445
2021-09-14 00:05:52,182.214.108.143,5555
2021-09-14 00:05:54,201.141.236.251,445
2021-09-14 00:05:54,8.131.92.62,2376
2021-09-14 00:05:56,45.228.189.230,445
2021-09-14 00:06:10,181.48.60.50,222
2021-09-14 00:06:13,64.227.71.57,3389
2021-09-14 00:06:14,139.59.188.13,2222
2021-09-14 00:06:15,1.55.229.93,5555
2021-09-14 00:06:21,116.97.213.8,445
2021-09-14 00:06:21,143.202.55.113,445
2021-09-14 00:06:24,124.127.43.228,1433
2021-09-14 00:06:25,45.141.78.227,222
2021-09-14 00:06:51,115.76.51.56,445
2021-09-14 00:06:51,185.41.207.24,445
2021-09-14 00:06:53,82.156.192.108,2222
2021-09-14 00:06:53,92.255.195.14,22
2021-09-14 00:07:05,107.173.82.229,222
2021-09-14 00:07:11,43.129.171.125,2055
2021-09-14 00:07:17,122.52.81.153,445
2021-09-14 00:07:22,81.10.52.146,445
2021-09-14 00:07:23,207.154.206.212,2222
2021-09-14 00:07:23,74.65.225.170,5555
2021-09-14 00:07:24,83.150.215.101,2222
2021-09-14 00:07:36,112.126.56.164,6379
2021-09-14 00:07:39,186.33.79.181,8080
2021-09-14 00:07:45,115.226.221.14,2004
2021-09-14 00:07:51,167.99.237.222,901
2021-09-14 00:07:54,103.77.36.39,2222
2021-09-14 00:07:54,177.102.92.53,445
2021-09-14 00:07:57,201.22.19.36,445
2021-09-14 00:07:59,1.237.174.154,2222
2021-09-14 00:08:27,118.70.124.27,445
2021-09-14 00:08:35,120.85.113.123,8080
2021-09-14 00:08:37,110.35.172.40,23
2021-09-14 00:08:57,47.111.1.132,6379
2021-09-14 00:09:01,113.31.110.150,222
2021-09-14 00:09:06,36.232.52.230,445
2021-09-14 00:09:12,154.21.114.200,8080
2021-09-14 00:09:12,182.74.61.134,222
2021-09-14 00:09:12,31.163.200.70,445
2021-09-14 00:09:13,14.229.58.167,445
2021-09-14 00:09:20,193.169.254.138,37
2021-09-14 00:09:25,43.252.72.73,445
2021-09-14 00:09:35,222.175.50.155,4899
2021-09-14 00:09:58,81.28.163.215,445
2021-09-14 00:09:59,170.244.2.53,23
2021-09-14 00:10:00,81.214.222.18,23
2021-09-14 00:10:16,202.67.33.21,445
2021-09-14 00:10:20,222.67.190.107,5555
2021-09-14 00:10:22,190.97.190.5,23
2021-09-14 00:10:31,1.116.16.205,6379
2021-09-14 00:10:44,170.83.243.252,445
2021-09-14 00:10:49,104.248.44.26,222
2021-09-14 00:10:57,14.143.13.198,22
2021-09-14 00:11:11,221.226.14.252,6379
2021-09-14 00:11:22,93.175.200.128,445
2021-09-14 00:11:23,65.32.183.152,445
2021-09-14 00:11:24,120.132.84.193,1433
2021-09-14 00:11:40,77.40.62.212,23
2021-09-14 00:11:43,121.5.206.79,2222
2021-09-14 00:11:52,14.167.143.117,445
2021-09-14 00:11:52,78.158.177.115,8080
2021-09-14 00:12:03,186.95.245.63,445
2021-09-14 00:12:03,39.103.216.142,6379
2021-09-14 00:12:06,175.24.119.184,2222
2021-09-14 00:12:12,106.75.16.145,2222
2021-09-14 00:12:15,171.34.70.28,222
2021-09-14 00:12:21,187.133.126.179,445
2021-09-14 00:12:27,178.72.75.76,23
2021-09-14 00:12:31,188.0.151.209,22222
2021-09-14 00:12:41,163.20.26.101,3389
2021-09-14 00:12:44,178.151.141.115,1433
2021-09-14 00:13:01,161.35.126.146,2222
2021-09-14 00:13:02,106.51.84.124,445
2021-09-14 00:13:02,47.153.175.149,23
2021-09-14 00:13:06,36.78.184.198,445
2021-09-14 00:13:23,186.24.252.237,445
2021-09-14 00:13:27,190.97.232.78,445
